participant _number,file_name,test_date,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario_1,full_response,scenario_2,full_response,notes
35,20230406_10,4/6,129283,fbc94332-ab64-46bb-a8f6-94cad6686d41,1826-2191,1860,female,en,flood,All the water got higher and higher and it was so high that it flew inside of the basement so then there was lots of water.,sunburn,Because she left her sunscreen at home and she need the sunscreen not to get sunburn.,
36,20230406_16,4/6,129321,45cb30cf-09dd-4ea5-bc1c-c99ab135ee4b,1826-2191,1980,female,en he,flood,"Because the water was, like really high.",sunburn,Because she didn't have sunscreen.,
37,20230407_10,4/7,129480,b240de84-543d-4eca-a378-67ee6a9b3772,1826-2191,2190,male,en,sunburn,Because she forgot her sunscreen.,flood,Because he left window open.,
38,20230408_01,4/8,129542,244bc2ab-393b-40b5-8be4-ec8a5554da3b,1826-2191,2190,female,en,flood,Because the window was opened.,sunburn,Because she didn't have any sunscreen.,
39,20230408_02,4/8,129551,7e8bb8c1-447a-4a30-a499-b806f649b863,1826-2191,2160,male,en so,flood,Cause there wasn't a latch.,sunburn,Because she forgot the sunscreen.,
40,20230410_08,4/10,129804,3431a8f2-197d-41d7-a8a4-7fe9ad518be2,1826-2191,2160,female,en,sunburn,Because she forgot her sunscreen.,flood,Because he left the window open and the hook was broken.,
41,20230410_10,4/10,129808,85380b03-3e11-4e54-9cb1-c0f3ea1c9589,1826-2191,1860,male,en,flood,Because of the rain.,sunburn,Because she forgot her sunscreen.,
42,20230410_12,4/10,129821,8bed76f2-8ad9-4bbb-b597-604b892d4ebb,1826-2191,2100,male,en pes ml,sunburn,Because she forgot her sunscreen.,flood,Because he left the window so...,
43,20230410_14,4/10,129882,5cb7fa0c-aad0-4435-a3b9-24ef3a4d77ff,1826-2191,1890,female,en so,sunburn,Because Suzy got to get his suncreen.,flood,Because Andy got to shut the door.,
44,20230412_01,4/12,130181,d123ca86-0f3e-4173-849b-f52f6e6c93e3,1826-2191,2100,female,en,flood,Because the window was open.,sunburn,Because she forgot her sunscreen.,
45,20230412_02,4/12,130204,480488db-40fc-4916-a295-2e9f2b7a58c1,1826-2191,1920,male,en,sunburn,Because she forgot her sunscreen.,flood,Because he took of the latch.,
46,20230413_04,4/13,130467,5e389fb8-5f7b-4cd5-91b4-c49e66076acc,1826-2191,1830,female,en,sunburn,Because she didn't bring sunscreen.,flood,Because he didn't shut the window.,
47,20230410_13,4/10,129834,63c2dd58-2ff8-406d-b0cc-e7a8562abaca,1826-2191,1920,male,en,sunburn,Because the sun burned on her skin.,flood,Because he didn't build it.,
