participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,made_question_order,question_type,full_response,response,notes
15,113224,12/14/22 11:00,42c2be43-88e3-486c-a50a-372f5ee22537,1461-1826,1740,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,
15,113224,12/14/22 11:00,42c2be43-88e3-486c-a50a-372f5ee22537,1461-1826,1740,female,en,mirror_crack,Sophia,second,crack,"""Sophia.""",Sophia,parent reminded child of the characters' names
15,113224,12/14/22 11:00,42c2be43-88e3-486c-a50a-372f5ee22537,1461-1826,1740,female,en,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,parent reminded child of the characters' names
16,113290,12/14/22 16:02,fc13b35b-3186-4bd9-82c5-55dcc27c5a0b,1461-1826,1590,female,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
16,113290,12/14/22 16:02,fc13b35b-3186-4bd9-82c5-55dcc27c5a0b,1461-1826,1590,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
16,113290,12/14/22 16:02,fc13b35b-3186-4bd9-82c5-55dcc27c5a0b,1461-1826,1590,female,en,fence_break,Suzy,first,made,"""Andy.""",Andy,parent asked Suzy or Andy
16,113290,12/14/22 16:02,fc13b35b-3186-4bd9-82c5-55dcc27c5a0b,1461-1826,1590,female,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
17,113375,12/15/22 10:08,e7bb9ef9-7883-4943-aff3-90f6b0842128,1461-1826,1800,male,en,fence_break,Andy,second,break,"""Suzy.""",Suzy,
17,113375,12/15/22 10:08,e7bb9ef9-7883-4943-aff3-90f6b0842128,1461-1826,1800,male,en,fence_break,Andy,second,made,"""Suzy.""",Suzy,
17,113375,12/15/22 10:08,e7bb9ef9-7883-4943-aff3-90f6b0842128,1461-1826,1800,male,en,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
17,113375,12/15/22 10:08,e7bb9ef9-7883-4943-aff3-90f6b0842128,1461-1826,1800,male,en,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
18,113382,12/15/22 10:23,efef23d6-8e13-40f8-9647-e5f06867659a,1461-1826,1770,female,en,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,"parent repeated question, asked was it Bobby or Sophia and reminded their names were Bobby and Sophia"
18,113382,12/15/22 10:23,efef23d6-8e13-40f8-9647-e5f06867659a,1461-1826,1770,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,"parent noted to child that it was a different question, asked who cracked the mirror, Bobby or Sophia"
18,113382,12/15/22 10:23,efef23d6-8e13-40f8-9647-e5f06867659a,1461-1826,1770,female,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,parent reminded their names are Andy and Suzy
18,113382,12/15/22 10:23,efef23d6-8e13-40f8-9647-e5f06867659a,1461-1826,1770,female,en,fence_break,Suzy,first,break,"""Andy.""",Andy,parent reminded their names are Andy and Suzy
19,113897,12/17/22 10:22,f0923e4a-f7ca-4d70-bd11-388fbd9f0f7a,1461-1826,1770,male,en,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,parent reminded the names are Sophia and Bobby
19,113897,12/17/22 10:22,f0923e4a-f7ca-4d70-bd11-388fbd9f0f7a,1461-1826,1770,male,en,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
19,113897,12/17/22 10:22,f0923e4a-f7ca-4d70-bd11-388fbd9f0f7a,1461-1826,1770,male,en,fence_break,Andy,first,made,"""Andy.""",Andy,parent said theres Andy and Suzy who made the fence break
19,113897,12/17/22 10:22,f0923e4a-f7ca-4d70-bd11-388fbd9f0f7a,1461-1826,1770,male,en,fence_break,Andy,first,break,"""Andy.""",Andy,
20,113980,12/18/22 15:06,af2196a8-bab6-4e83-9a88-79465d79c075,1461-1826,1620,female,,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,name sounded like blobby
20,113980,12/18/22 15:06,af2196a8-bab6-4e83-9a88-79465d79c075,1461-1826,1620,female,,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,name sounded like blobby
20,113980,12/18/22 15:06,af2196a8-bab6-4e83-9a88-79465d79c075,1461-1826,1620,female,,fence_break,Andy,second,break,"""Snuuzy."", ""Andy, Andy broke the fence.""",Andy,"child said snoozy then parent tried to remind them of the names, ""Andy and Suzy"" and then child answered Andy"
20,113980,12/18/22 15:06,af2196a8-bab6-4e83-9a88-79465d79c075,1461-1826,1620,female,,fence_break,Andy,second,made,"""Andy.""",Andy,"child said snoozy then parent tried to remind them of the names, ""Andy and Suzy"" and then child answered Andy"
21,114125,12/20/22 8:58,138cd95d-f5c3-4f2b-93ae-35bbe5a03558,1461-1826,1740,female,,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,"parent asked who made the mirror crack, Bobby or Sophia?"
21,114125,12/20/22 8:58,138cd95d-f5c3-4f2b-93ae-35bbe5a03558,1461-1826,1740,female,,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
21,114125,12/20/22 8:58,138cd95d-f5c3-4f2b-93ae-35bbe5a03558,1461-1826,1740,female,,fence_break,Suzy,second,break,"""Andy.""",Andy,
21,114125,12/20/22 8:58,138cd95d-f5c3-4f2b-93ae-35bbe5a03558,1461-1826,1740,female,,fence_break,Suzy,second,made,"""Andy.""",Andy,
22,114400,12/23/22 17:42,7abdb58d-06cb-437d-a0b8-a187d3838aa6,1461-1826,1680,male,en,mirror_crack,Bobby,second,crack,"""Bobby.""",Bobby,"parent reminded them the names are Bobby and Sophia, repeated the question"
22,114400,12/23/22 17:42,7abdb58d-06cb-437d-a0b8-a187d3838aa6,1461-1826,1680,male,en,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,parent repeated the question
22,114400,12/23/22 17:42,7abdb58d-06cb-437d-a0b8-a187d3838aa6,1461-1826,1680,male,en,fence_break,Suzy,second,break,"""Suzy.""",Suzy,parent repeated question and asked Andy or Suzy
22,114400,12/23/22 17:42,7abdb58d-06cb-437d-a0b8-a187d3838aa6,1461-1826,1680,male,en,fence_break,Suzy,second,made,"""Andy.""",Andy,parent repeated question and asked Andy or Suzy
23,114445,12/25/22 4:48,15c5712c-d2bb-44a6-997a-3635c0dcfc52,1461-1826,1740,female,en tl,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
23,114445,12/25/22 4:48,15c5712c-d2bb-44a6-997a-3635c0dcfc52,1461-1826,1740,female,en tl,mirror_crack,Sophia,second,made,Bobby.,Bobby,
23,114445,12/25/22 4:48,15c5712c-d2bb-44a6-997a-3635c0dcfc52,1461-1826,1740,female,en tl,fence_break,Andy,second,break,Suzy.,Suzy,
23,114445,12/25/22 4:48,15c5712c-d2bb-44a6-997a-3635c0dcfc52,1461-1826,1740,female,en tl,fence_break,Andy,second,made,Andy.,Andy,
24,114458,12/26/22 10:26,d07555a3-fbcd-4573-9cf5-df99046702cc,1461-1826,1500,female,en,mirror_crack,Sophia,first,made,Bobby.,Bobby,
24,114458,12/26/22 10:26,d07555a3-fbcd-4573-9cf5-df99046702cc,1461-1826,1500,female,en,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
24,114458,12/26/22 10:26,d07555a3-fbcd-4573-9cf5-df99046702cc,1461-1826,1500,female,en,fence_break,Andy,first,made,Suzy.,Suzy,
24,114458,12/26/22 10:26,d07555a3-fbcd-4573-9cf5-df99046702cc,1461-1826,1500,female,en,fence_break,Andy,first,break,Suzy.,Suzy,
25,114483,12/26/22 16:18,620b6606-c2fb-4a42-8682-6740c6c32dd9,1461-1826,1590,female,en so,fence_break,Andy,first,made,Suzy.,Suzy,
25,114483,12/26/22 16:18,620b6606-c2fb-4a42-8682-6740c6c32dd9,1461-1826,1590,female,en so,fence_break,Andy,first,break,Suzy.,Suzy,
25,114483,12/26/22 16:18,620b6606-c2fb-4a42-8682-6740c6c32dd9,1461-1826,1590,female,en so,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
25,114483,12/26/22 16:18,620b6606-c2fb-4a42-8682-6740c6c32dd9,1461-1826,1590,female,en so,mirror_crack,Sophia,second,made,Bobby.,Bobby,
26,114484,12/26/22 18:35,4ca81516-b6d7-45a2-995a-ee3aee280ea7,1461-1826,1680,female,en ur wuu,fence_break,Suzy,second,break,Andy.,Andy,
26,114484,12/26/22 18:35,4ca81516-b6d7-45a2-995a-ee3aee280ea7,1461-1826,1680,female,en ur wuu,fence_break,Suzy,second,made,Andy.,Andy,
26,114484,12/26/22 18:35,4ca81516-b6d7-45a2-995a-ee3aee280ea7,1461-1826,1680,female,en ur wuu,mirror_crack,Bobby,first,made,Sophia.,Sophia,
26,114484,12/26/22 18:35,4ca81516-b6d7-45a2-995a-ee3aee280ea7,1461-1826,1680,female,en ur wuu,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
27,115961,1/13/23 17:45,086a5e4d-0b15-437a-824a-f29c741d76f8,1461-1826,1500,male,en so,fence_break,Suzy,second,break,"""Andy.""",Andy,parent asked is it Suzy or Andy that broke the fence
27,115961,1/13/23 17:45,086a5e4d-0b15-437a-824a-f29c741d76f8,1461-1826,1500,male,en so,fence_break,Suzy,second,made,"""Andy.""",Andy,
27,115961,1/13/23 17:45,086a5e4d-0b15-437a-824a-f29c741d76f8,1461-1826,1500,male,en so,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,"parent asked ""Bobby or Sophia?"" and reminded them the names"
27,115961,1/13/23 17:45,086a5e4d-0b15-437a-824a-f29c741d76f8,1461-1826,1500,male,en so,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
28,116037,1/14/23 14:50,8c54cf0a-639b-490e-ba54-2fc7d73eb012,1461-1826,1500,female,en,fence_break,Andy,first,made,Suzy.,Suzy,
28,116037,1/14/23 14:50,8c54cf0a-639b-490e-ba54-2fc7d73eb012,1461-1826,1500,female,en,fence_break,Andy,first,break,Suzy.,Suzy,
28,116037,1/14/23 14:50,8c54cf0a-639b-490e-ba54-2fc7d73eb012,1461-1826,1500,female,en,mirror_crack,Sophia,first,made,Bobby.,Bobby,
28,116037,1/14/23 14:50,8c54cf0a-639b-490e-ba54-2fc7d73eb012,1461-1826,1500,female,en,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
29,116041,1/14/23 15:09,2f1cfdc2-0a3a-447f-bf86-2b9abccfff8d,1461-1826,1800,female,,mirror_crack,Bobby,first,made,Sophia.,Sophia,
29,116041,1/14/23 15:09,2f1cfdc2-0a3a-447f-bf86-2b9abccfff8d,1461-1826,1800,female,,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
29,116041,1/14/23 15:09,2f1cfdc2-0a3a-447f-bf86-2b9abccfff8d,1461-1826,1800,female,,fence_break,Suzy,second,break,Andy.,Andy,
29,116041,1/14/23 15:09,2f1cfdc2-0a3a-447f-bf86-2b9abccfff8d,1461-1826,1800,female,,fence_break,Suzy,second,made,Andy.,Andy,
30,116160,1/16/23 8:14,71769ae3-906b-4f44-853c-8bbb19017715,1461-1826,1470,female,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,child pointed and parent reminded them of the characters' names
30,116160,1/17/23 8:14,71769ae3-906b-4f44-853c-8bbb19017715,1461-1826,1470,female,en,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
30,116160,1/18/23 8:14,71769ae3-906b-4f44-853c-8bbb19017715,1461-1826,1470,female,en,fence_break,Suzy,second,break,"""Andy.""",Andy,parent reminded them the names are Andy and Suzy
30,116160,1/19/23 8:14,71769ae3-906b-4f44-853c-8bbb19017715,1461-1826,1470,female,en,fence_break,Suzy,second,made,"""Andy.""",Andy,
31,112393,12/8/22 13:15,9888fcf6-78ab-4a02-9646-6f7abb28dfa3,1826-2191,1890,female,en it so,fence_break,Andy,first,made,"""Andy.""",Andy,
31,112393,12/8/22 13:15,9888fcf6-78ab-4a02-9646-6f7abb28dfa3,1826-2191,1890,female,en it so,fence_break,Andy,first,break,"""Andy.""",Andy,
31,112393,12/8/22 13:15,9888fcf6-78ab-4a02-9646-6f7abb28dfa3,1826-2191,1890,female,en it so,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
31,112393,12/8/22 13:15,9888fcf6-78ab-4a02-9646-6f7abb28dfa3,1826-2191,1890,female,en it so,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
32,112737,12/10/22 14:46,3239d66a-5c2a-4e8b-bd98-314d3c005529,1826-2191,1890,male,,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
32,112737,12/10/22 14:46,3239d66a-5c2a-4e8b-bd98-314d3c005529,1826-2191,1890,male,,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
32,112737,12/10/22 14:46,3239d66a-5c2a-4e8b-bd98-314d3c005529,1826-2191,1890,male,,fence_break,Andy,first,made,"""Andy.""",Andy,
32,112737,12/10/22 14:46,3239d66a-5c2a-4e8b-bd98-314d3c005529,1826-2191,1890,male,,fence_break,Andy,first,break,"""Suzy.""",Suzy,
33,112775,12/11/22 9:21,80c5984c-1742-446a-b91e-79d3e7d37fbf,1826-2191,2130,male,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
33,112775,12/11/22 9:21,80c5984c-1742-446a-b91e-79d3e7d37fbf,1826-2191,2130,male,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
33,112775,12/11/22 9:21,80c5984c-1742-446a-b91e-79d3e7d37fbf,1826-2191,2130,male,en,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,
33,112775,12/11/22 9:21,80c5984c-1742-446a-b91e-79d3e7d37fbf,1826-2191,2130,male,en,mirror_crack,Bobby,first,crack,"""Sofie""",Sophia,
34,112863,12/11/22 19:47,05e4ad43-95bf-4435-a61c-87652acbd733,1826-2191,2160,female,en,fence_break,Andy,first,made,"Andy. ""Which one is Andy?""",Andy,"parent had to repeat question ""Andy or Suzy"" and child pointed to another person in the room before saying Andy when the person pointed back to the screen. they also asked after responding which one is Andy but didn't say anything more when person pointed to Andy"
34,112863,12/11/22 19:47,05e4ad43-95bf-4435-a61c-87652acbd733,1826-2191,2160,female,en,fence_break,Andy,first,break,"""Which one is Suzy?"" Suzy. ",Suzy,child asked which one is Suzy and parent said the girl and pointed
34,112863,12/11/22 19:47,05e4ad43-95bf-4435-a61c-87652acbd733,1826-2191,2160,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,"Parent asked the child who cracked the mirror, Bobby or Sophia"
34,112863,12/11/22 19:47,05e4ad43-95bf-4435-a61c-87652acbd733,1826-2191,2160,female,en,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,"Parent repeated the question. ""Bobby or Sophia"" "
35,112873,12/11/22 21:44,085d28ff-d2c4-4dea-8810-aa09c998b217,1826-2191,1830,female,,fence_break,Suzy,first,made,"Maggie.""Suzy?""",Suzy,"Child first answered with Maggie and then parent said there were only two characters: Andy or Suzy. Then child responded ""Suzy?"""
35,112873,12/11/22 21:44,085d28ff-d2c4-4dea-8810-aa09c998b217,1826-2191,1830,female,,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
35,112873,12/11/22 21:44,085d28ff-d2c4-4dea-8810-aa09c998b217,1826-2191,1830,female,,mirror_crack,Bobby,second,crack,"""Bobby.""",Bobby,
35,112873,12/11/22 21:44,085d28ff-d2c4-4dea-8810-aa09c998b217,1826-2191,1830,female,,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
36,112895,12/12/22 9:03,57e820f9-b993-4e9b-8e6d-90de49ebe76c,1826-2191,1950,female,en ro ,mirror_crack,Sophia,second,crack,So. Sophia,Sophia,Parent clarified with child if it was Sophia since they just said So
36,112895,12/12/22 9:03,57e820f9-b993-4e9b-8e6d-90de49ebe76c,1826-2191,1950,female,en ro ,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,
36,112895,12/12/22 9:03,57e820f9-b993-4e9b-8e6d-90de49ebe76c,1826-2191,1950,female,en ro ,fence_break,Suzy,second,break,"""Andy.""",Andy,
36,112895,12/12/22 9:03,57e820f9-b993-4e9b-8e6d-90de49ebe76c,1826-2191,1950,female,en ro ,fence_break,Suzy,second,made,"""Andy.""",Andy,
37,113053,12/13/22 9:29,35d9d95f-5baf-4249-98d4-7d8661d559e6,1826-2191,2010,male,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
37,113053,12/13/22 9:29,35d9d95f-5baf-4249-98d4-7d8661d559e6,1826-2191,2010,male,en,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
37,113053,12/13/22 9:29,35d9d95f-5baf-4249-98d4-7d8661d559e6,1826-2191,2010,male,en,fence_break,Andy,first,made,"""Suzy.""",Suzy,Parent also said it's either Andy or Suzy
37,113053,12/13/22 9:29,35d9d95f-5baf-4249-98d4-7d8661d559e6,1826-2191,2010,male,en,fence_break,Andy,first,break,"""Andy.""",Andy,
38,113056,12/13/22 9:41,6bae3f1a-6697-4234-8515-03dd2015f037,1826-2191,2190,female,en ml su yo,fence_break,Suzy,second,break,"""Suzy.""",Suzy,
38,113056,12/13/22 9:41,6bae3f1a-6697-4234-8515-03dd2015f037,1826-2191,2190,female,en ml su yo,fence_break,Suzy,second,made,"""Andy.""",Andy,
38,113056,12/13/22 9:41,6bae3f1a-6697-4234-8515-03dd2015f037,1826-2191,2190,female,en ml su yo,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
38,113056,12/13/22 9:41,6bae3f1a-6697-4234-8515-03dd2015f037,1826-2191,2190,female,en ml su yo,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
39,113159,12/13/22 17:28,117a0ffe-29a7-45ea-ba48-ee9f7e255ad3,1826-2191,1890,female,en,fence_break,Andy,first,made,"""Andy.""",Andy,
39,113159,12/13/22 17:28,117a0ffe-29a7-45ea-ba48-ee9f7e255ad3,1826-2191,1890,female,en,fence_break,Andy,first,break,"""Andy.""",Andy,
39,113159,12/13/22 17:28,117a0ffe-29a7-45ea-ba48-ee9f7e255ad3,1826-2191,1890,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
39,113159,12/13/22 17:28,117a0ffe-29a7-45ea-ba48-ee9f7e255ad3,1826-2191,1890,female,en,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
40,113275,12/14/22 15:38,d5b68ac8-c7ac-4697-b85f-698e3c2661a3,1826-2191,1830,male,en,fence_break,Suzy,second,break,"""Suzy.""",Suzy,
40,113275,12/14/22 15:38,d5b68ac8-c7ac-4697-b85f-698e3c2661a3,1826-2191,1830,male,en,fence_break,Suzy,second,made,"""Andy.""",Andy,
40,113275,12/14/22 15:38,d5b68ac8-c7ac-4697-b85f-698e3c2661a3,1826-2191,1830,male,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
40,113275,12/14/22 15:38,d5b68ac8-c7ac-4697-b85f-698e3c2661a3,1826-2191,1830,male,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
41,113661,12/15/22 17:31,1221ba32-8cee-4456-93f6-6cc4491625fd,1826-2191,2130,female,en,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,
41,113661,12/15/22 17:31,1221ba32-8cee-4456-93f6-6cc4491625fd,1826-2191,2130,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
41,113661,12/15/22 17:31,1221ba32-8cee-4456-93f6-6cc4491625fd,1826-2191,2130,female,en,fence_break,Suzy,first,made,"""Andy.""",Andy,
41,113661,12/15/22 17:31,1221ba32-8cee-4456-93f6-6cc4491625fd,1826-2191,2130,female,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
42,113871,12/16/22 22:39,a244ec26-d679-47a7-8a47-259531ac9db4,1826-2191,1890,female,en he,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
42,113871,12/16/22 22:39,a244ec26-d679-47a7-8a47-259531ac9db4,1826-2191,1890,female,en he,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
42,113871,12/16/22 22:39,a244ec26-d679-47a7-8a47-259531ac9db4,1826-2191,1890,female,en he,fence_break,Andy,first,made,"""Suzy.""",Suzy,
42,113871,12/16/22 22:39,a244ec26-d679-47a7-8a47-259531ac9db4,1826-2191,1890,female,en he,fence_break,Andy,first,break,"""Suzy.""",Suzy,
43,113969,12/18/22 11:04,77e57247-061a-4054-bf18-8336a96bd5a3,1826-2191,2070,male,en so,mirror_crack,Bobby,second,crack,I think Sophia did.,Sophia,
43,113969,12/18/22 11:04,77e57247-061a-4054-bf18-8336a96bd5a3,1826-2191,2070,male,en so,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
43,113969,12/18/22 11:04,77e57247-061a-4054-bf18-8336a96bd5a3,1826-2191,2070,male,en so,fence_break,Suzy,first,made,"""Andy.""",Andy,
43,113969,12/18/22 11:04,77e57247-061a-4054-bf18-8336a96bd5a3,1826-2191,2070,male,en so,fence_break,Suzy,first,break,"""Andy.""",Andy,
44,113975,12/18/22 14:29,653f46bd-8c10-419b-8258-a4dd733fef9c,1826-2191,2070,female,en,mirror_crack,Sophia,first,made,"""I think that Sophia made the mirror crack but she didn't know what/it would happen.""",Sophia,
44,113975,12/18/22 14:29,653f46bd-8c10-419b-8258-a4dd733fef9c,1826-2191,2070,female,en,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
44,113975,12/18/22 14:29,653f46bd-8c10-419b-8258-a4dd733fef9c,1826-2191,2070,female,en,fence_break,Andy,second,break,"""Suzy broke the fence.""",Suzy,"child asked parent ""what is her name?"""
44,113975,12/18/22 14:29,653f46bd-8c10-419b-8258-a4dd733fef9c,1826-2191,2070,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,"child asked parent ""what is his name?"""
45,114479,12/26/22 14:42,ade08fa0-3906-474c-be8f-a5d070d20968,1826-2191,2190,female,en so,fence_break,Andy,first,made,"""Andy.""",Andy,
45,114479,12/26/22 14:42,ade08fa0-3906-474c-be8f-a5d070d20968,1826-2191,2190,female,en so,fence_break,Andy,first,break,"""Suzy.""",Suzy,
45,114479,12/26/22 14:42,ade08fa0-3906-474c-be8f-a5d070d20968,1826-2191,2190,female,en so,mirror_crack,Sophia,first,made,"""Sophia.""",Sophia,
45,114479,12/26/22 14:42,ade08fa0-3906-474c-be8f-a5d070d20968,1826-2191,2190,female,en so,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,child asked parent whos name it was
46,115940,1/13/23 12:04,d09b7360-4473-4938-ac09-b64343287b78,1826-2191,1950,male,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
46,115940,1/13/23 12:04,d09b7360-4473-4938-ac09-b64343287b78,1826-2191,1950,male,en,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
46,115940,1/13/23 12:04,d09b7360-4473-4938-ac09-b64343287b78,1826-2191,1950,male,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,parent reminded the child of characters' names
46,115940,1/13/23 12:04,d09b7360-4473-4938-ac09-b64343287b78,1826-2191,1950,male,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
47,116057,1/14/23 17:23,91d0593c-9bb3-4d78-9fb4-95c25fe4adec,1826-2191,2040,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
47,116057,1/14/23 17:23,91d0593c-9bb3-4d78-9fb4-95c25fe4adec,1826-2191,2040,female,en,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,
47,116057,1/14/23 17:23,91d0593c-9bb3-4d78-9fb4-95c25fe4adec,1826-2191,2040,female,en,fence_break,Andy,first,made,"""Suzy.""",Suzy,
47,116057,1/14/23 17:23,91d0593c-9bb3-4d78-9fb4-95c25fe4adec,1826-2191,2040,female,en,fence_break,Andy,first,break,"""Suzy.""",Suzy,
48,116062,1/14/23 19:43,0af1e7a5-4fc6-4a97-840d-68d18fa7e318,1826-2191,2010,female,en th,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
48,116062,1/14/23 19:43,0af1e7a5-4fc6-4a97-840d-68d18fa7e318,1826-2191,2010,female,en th,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,child said this answer louder?
48,116062,1/14/23 19:43,0af1e7a5-4fc6-4a97-840d-68d18fa7e318,1826-2191,2010,female,en th,fence_break,Suzy,first,made,"""Andy.""",Andy,parent reminded them the names were Andy and Suzy
48,116062,1/14/23 19:43,0af1e7a5-4fc6-4a97-840d-68d18fa7e318,1826-2191,2010,female,en th,fence_break,Suzy,first,break,"""Andy.""",Andy,child said this answer louder?
49,116111,1/15/23 10:19,5fc60069-68bf-4a31-a260-fed2bc93e264,1826-2191,2040,female,en,fence_break,Andy,second,break,"""Suzy.""",Suzy,
49,116111,1/15/23 10:19,5fc60069-68bf-4a31-a260-fed2bc93e264,1826-2191,2040,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,
49,116111,1/15/23 10:19,5fc60069-68bf-4a31-a260-fed2bc93e264,1826-2191,2040,female,en,mirror_crack,Sophia,first,made,"""Andy.""",Bobby,child probably got Andy and Bobby's names mixed up
49,116111,1/15/23 10:19,5fc60069-68bf-4a31-a260-fed2bc93e264,1826-2191,2040,female,en,mirror_crack,Sophia,first,crack,"""Sophia.""",Sophia,
50,116701,1/18/23 18:40,099771dc-f14e-4ddf-8aff-b688d8a34a2e,1826-2191,1920,female,en,fence_break,Andy,second,break,Andy.,Andy,
50,116701,1/19/23 18:40,099771dc-f14e-4ddf-8aff-b688d8a34a2e,1826-2191,1920,female,en,fence_break,Andy,second,made,Suzy.,Suzy,
50,116701,1/20/23 18:40,099771dc-f14e-4ddf-8aff-b688d8a34a2e,1826-2191,1920,female,en,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
50,116701,1/21/23 18:40,099771dc-f14e-4ddf-8aff-b688d8a34a2e,1826-2191,1920,female,en,mirror_crack,Sophia,second,made,Suzy.,Sophia,
51,116836,1/19/23 19:37,a15eda21-cdf5-429f-a3d2-ecc412e1285b,1826-2191,1980,female,en tl,mirror_crack,Sophia,first,made,"""Bob!""",Bobby,
51,116836,1/19/23 19:37,a15eda21-cdf5-429f-a3d2-ecc412e1285b,1826-2191,1980,female,en tl,mirror_crack,Sophia,first,crack,"""Bob!""",Bobby,
51,116836,1/19/23 19:37,a15eda21-cdf5-429f-a3d2-ecc412e1285b,1826-2191,1980,female,en tl,fence_break,Andy,second,break,"""Suzy.""",Suzy,
51,116836,1/19/23 19:37,a15eda21-cdf5-429f-a3d2-ecc412e1285b,1826-2191,1980,female,en tl,fence_break,Andy,second,made,"""Suzy.""",Suzy,
52,117106,1/21/23 12:23,5c99efb6-f47f-495a-8e48-b6dd24a59413,1826-2191,2070,female,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,child asked mom who's that
52,117106,1/21/23 12:23,5c99efb6-f47f-495a-8e48-b6dd24a59413,1826-2191,2070,female,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
52,117106,1/21/23 12:23,5c99efb6-f47f-495a-8e48-b6dd24a59413,1826-2191,2070,female,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
52,117106,1/21/23 12:23,5c99efb6-f47f-495a-8e48-b6dd24a59413,1826-2191,2070,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
53,117115,1/21/23 13:18,5f48a8f8-c20b-4cac-89a5-802b83cf75be,1826-2191,2190,female,en,fence_break,Andy,first,made,Suzy broke the fence.,Suzy,
53,117115,1/21/23 13:18,5f48a8f8-c20b-4cac-89a5-802b83cf75be,1826-2191,2190,female,en,fence_break,Andy,first,break,Suzy.,Suzy,
53,117115,1/21/23 13:18,5f48a8f8-c20b-4cac-89a5-802b83cf75be,1826-2191,2190,female,en,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
